subject,best_model,max_df,min_docs,n_topics,coherence,irbo,topic_quality,time_seconds
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,10,576,0.6227259705229428,0.9919917764413728,0.765135627041827,106.3746
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,25,508,0.6347977578148536,0.991832349504584,0.7741316786034951,100.576
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,50,384,0.6522138753150294,0.9926486398637274,0.7872016126835352,92.7813
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,100,261,0.6729133842750005,0.9934849013568876,0.8023643434472862,77.8667
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,150,185,0.6785505347883458,0.9938443488246466,0.8064765289188878,68.5575
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,200,138,0.6794571300881471,0.994621530463181,0.8073726790746698,62.0
cs,sentence_transformers_all_MiniLM_L6_v2,0.5,250,118,0.6784494008323111,0.9946501471250035,0.8066702225163641,57.9021
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,10,576,0.631281999849377,0.9902549847925024,0.7710340858411152,678.8661
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,25,508,0.6465572731694725,0.9904025413604984,0.7823673579356504,99.735
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,50,384,0.6591100782119178,0.99129625321499,0.7917727102560934,91.1069
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,100,261,0.683291091383173,0.991678122342454,0.8090952561014795,78.3127
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,150,185,0.6886169529737286,0.9926237495053808,0.8131346531881543,69.9491
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,200,138,0.6924643176398824,0.9930138705033208,0.8159425295474487,61.8626
cs,sentence_transformers_all_MiniLM_L6_v2,0.6,250,118,0.6918001595612826,0.992916141520581,0.8154483228025602,58.38
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,10,576,0.6338942236633129,0.9891923475219982,0.77265541155325,1251.1819
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,25,508,0.651562221558108,0.9881529723128444,0.785310942241011,98.0016
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,50,384,0.6685862273401462,0.9884130109007828,0.7976338271892597,89.1208
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,100,261,0.6880919958772412,0.9900208842079902,0.8118946588155075,78.2205
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,150,185,0.694318561763931,0.9906996578918664,0.8164435844091851,68.9072
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,200,138,0.7020354672419632,0.991843566026606,0.8221476782224074,60.8593
cs,sentence_transformers_all_MiniLM_L6_v2,0.7,250,118,0.7001957407974981,0.9916328805057844,0.8208125888377115,58.3205
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,10,576,0.6302052983013735,0.987439924925914,0.7693774378466414,1820.1396
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,25,508,0.6509299920998894,0.9868378419229306,0.7844363912640292,99.1526
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,50,384,0.6714289828661628,0.9866103951211964,0.7990628194732106,88.0742
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,100,261,0.6936955979056294,0.9868544984745492,0.8147053976744633,75.0897
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,150,185,0.701175875704101,0.9854064910632168,0.8193412534288321,64.329
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,200,138,0.7095459622021139,0.989346257778103,0.8264051480586253,60.4146
cs,sentence_transformers_all_MiniLM_L6_v2,0.8,250,118,0.7086058633874853,0.988864729741184,0.825599388054403,58.3145
cs,sentence_transformers_all_MiniLM_L6_v2,0.9,10,576,0.6275355221940185,0.986065935305353,0.766969309452266,2380.5924
cs,sentence_transformers_all_MiniLM_L6_v2,0.9,25,508,0.6472821548989721,0.9849555461213916,0.7811903181364426,99.4541
cs,sentence_transformers_all_MiniLM_L6_v2,0.9,50,384,0.6652714529428012,0.9833979042225046,0.7936419097637235,90.561
cs,sentence_transformers_all_MiniLM_L6_v2,0.9,100,261,0.6938187037567112,0.985029736480102,0.8141676573963974,73.5631
cs,sentence_transformers_all_MiniLM_L6_v2,0.9,150,185,0.7029932397477247,0.9832454935595014,0.8198304513263195,63.8945
cs,sentence_transformers_all_MiniLM_L6_v2,0.9,200,138,0.7134958214399316,0.978375290295325,0.8252007761794846,58.8837
